kata,arti,kelas_kata
hiasan Natal,"pernak-pernik seperti lampu, bola, atau bunga yang digantungkan pada pohon Natal, ornamen Natal",
hiatus,-,-
hibah,-,-
hibah bersaing,hibah melalui seleksi atas karya (tulisan dan sebagainya),
hibah tergantung,"pemberian semasa hidup yang kemudian digugat oleh ahli waris, wasiat pemberian dengan menggugat wasiat yang baru mempunyai kekuatan hukum setelah pembuat wasiat meninggal",
hibah wasiat,pemberian yang dituliskan atau diucapkan sebagai wasiat,
hibahan,-,-
hibat,-,-
hibernal,-,-
hibernasi,-,-
hibiskus,-,-
hibob,-,-
hi.brid,→ hibrida,
hibrida,-,-
hibrida antarjenis,individu atau kelompok individu tumbuhan atau hewan yang merupakan hasil perkawinan silang atau individu yang berbeda jenisnya,
hibrida resiprok,-,-
hibridis,-,-
hibridisasi,-,-
hibualamo,-,-
hibuk,-,-
hibur,-,-
hiburan,-,-
hiburan bervariasi,-,-
hic et nunc,-,-
hidang,-,-
hidangan,-,-
hidangan khas,"masakan seorang koki yang mencirikan karakteristik memasak koki itu, biasanya sangat unik dan khas dari segi rasa, bahan atau presentasi",
hidangan rohani,"sajian atau makanan batin berupa ceramah keagamaan, buku, dan sebagainya untuk kepuasan batin, santapan rohani",
hidangan sepinggan,"hidangan satu porsi lauk lengkap yang terdiri atas sayuran, karbohidrat, dan daging, disajikan dengan cepat",
hidangan utama,-,-
hidatod,-,-
hidayah,-,-
hi.da.yat,→ hidayah,
hidran,-,-
hidrasi,-,-
hidrat,-,-
hidrat garam,-,-
hid.rau.lik,→ hidraulis,
hidraulika,-,-
hidraulis,-,-
hidrazina,-,-
hidrida,-,-
hidrik,-,-
hidrila,-,-
hidro,-,-
hidro-,-,-
hidroakustik,-,-
hidrobiologi,-,-
hidrodinamik,-,-
hidrodinamika,-,-
hidrodinamis,-,-
hidroelektrik,-,-
hidroelektrisitas,-,-
hidrofili,-,-
hidrofilia,-,-
hidrofilik,-,-
hidrofit,-,-
hidrofitik,-,-
hidrofobia,-,-
hidrofobik,-,-
hidrofoil,-,-
hidrofon,-,-
hidrofotometer,-,-
hidrogasifikasi,-,-
hidrogel,-,-
hidrogen,-,-
hidrogen peroksida,-,-
hidrogen sulfida,-,-
hidrogenase,-,-
hidrogenasi,-,-
hidrogeologi,-,-
hidrograf,-,-
hidrografi,-,-
hidrogram,-,-
hidrokarbon,-,-
hidrokarbon alifatik,-,-
hidrokarbon aromatik,-,-
hidrokarbon jenuh,senyawa terdiri atas karbon dan hidrogen yang padat udara,
hidrokarbon siklik,-,-
hidrokarbon takjenuh,-,-
hidrokel,-,-
hidrokinematika,-,-
hidrokinetika,-,-
hidroklorida,-,-
hidrokoloid,-,-
hidrokori,-,-
hidrokortison,-,-
hidroksiapatit,-,-
hidroksida,-,-
hidroksikobalamin,-,-
hidroksikolekalsiferol,-,-
hidroksil,-,-
hidroksilasi,-,-
hidroksilisin,-,-
hidroksiprolina,-,-
hidrokuinol,-,-
hidrokuinon,-,-
hidrolase,-,-
hid.ro.li.ka,→ hidraulika,
hidrolisat,-,-
hidrolisis,-,-
hidrolitik,-,-
hidrologi,-,-
hidrologi lahan basah,"cabang hidrologi yang berkaitan dengan kedalaman air, pola aliran, serta lama dan frekuensi banjir yang terjadi pada lahan basah",
hidrologi permukaan,cabang hidrologi yang berkaitan dengan agihan dan penyaluran air pada permukaan tanah,
hidrologi tanah,cabang hidrologi yang berkaitan dengan agihan dan gerakan larutan tanah dalam profil tanah,
hidrologia,-,-
hidrologis,-,-
hidromagnetik,-,-
hidromagnetika,-,-
hidromekanika,-,-
hidrometalurgi,-,-
hidrometeor,-,-
hidrometeorologi,-,-
hidrometer,-,-
hidrometer aki,-,-
hidrometer alkohol,-,-
hidrometer minyak,-,-
hidrometer tanah,-,-
hidrometri,-,-
hidromini,-,-
hidronan,-,-
hidronefrosis,-,-
hidropati,-,-
hidroperoksida,-,-
hidropoisis,-,-
hidroponik,-,-
hidroponik bertingkat,cara bercocok tanam tanpa menggunakan tanah sebagai media tanam tapi menggunakan paralon yang bertingkat sebagai wadah hidroponik,
hidropsoma,-,-
hidrosefalus,-,-
hidroselulosa,-,-
hidroser,-,-
hidrosfer,-,-
hidrosiklon,-,-
hidroskop,-,-
hidrosol,-,-
hidrostat,-,-
hidrostatika,-,-
hidrostatis,-,-
hidrosulfida,-,-
hidrotaksis,-,-
hidroterapi,-,-
hidrotermal,-,-
hidroton,-,-
hidrotropisme,-,-
hidu,-,-
hidung,-,-
hidung belang,-,-
hidung betet,hidung yang bentuknya melengkung ke luar seperti paruh burung betet,
"hidung dicium, pipi digigit","kasih sayang yang semu, pura-pura saja",
"hidung laksana kuntum seroja, dada seperti mawar merekah",perihal menyatakan keelokan bentuk hidung dan dada perempuan,
hidung putih,hidung belang,
hidung seperti dasun tunggal,"bentuk hidung yang bagus, bulat di muka dan lancip ke belakang, mancung",
"hidung tak mancung, pipi tersorong-sorong",orang yang tidak turut campur dalam suatu pekerjaan menjadi susah dan yang patut susah berdiam diri,
hidup,-,-
hidup bertimba uang,"hidup boros (serba mewah, banyak membelanjakan uang)",
hidup di bawah bendera negara lain,berada dalam perlindungan negara lain,
hidup di perawanan,"hidup dalam kemewahan (seperti orang besar, orang kaya)",
hidup di ujung gurung orang,orang yang hidup melarat,
"hidup dikandung adat, mati dikandung tanah",selama hidup orang harus taat pada adat kebiasaan dalam masyarakat,
hidup dua muara,hidup dengan dua mata pencaharian,
hidup dua muara,hidup dengan dua mata pencaharian,
"hidup kayu berbuah, hidup manusia biar berjasa",pada waktu kita hidup sebaiknya berbuat baik untuk diri sendiri dan untuk masyarakat,
hidup sandar-menyandar umpama aur dengan tebing,"perihal orang berlaki istri yang berkasih-kasihan, perihal orang bersahabat yang setia dan saling menolong",
"hidup segan, mati tak embuh","hidup merana, selalu sakit-sakit saja",
"hidup segan, mati tak hendak","hidup yang merana (karena sakit terus-menerus, melarat, sengsara, dan sebagainya)",
hidup seperti musang,tentang orang jahat (pencuri) yang pada siang hari tidak kelihatan tetapi pada malam hari merayap mencari mangsanya,
hidup tertopang,-,-
"hidup tidak karena doa, mati tidak karena sumpah",orang harus berusaha dengan tenaga dan pikiran sendiri dan tidak mengharapkan pertolongan orang lain,
hidupan,-,-
hidupan liar,"hewan liar, burung, dan makhluk hidup lain, termasuk juga vegetasi, yang hidup di alam terbuka",
hielofobia,-,-
hiena,-,-
hierarki,-,-
hierarki fonologis,-,-
hierarki gramatikal,-,-
hierarki taksonomi,-,-
hierarkis,-,-
hierofobia,-,-
hieroglif,-,-
hietograf,-,-
hietografi,-,-
hifa,-,-
hifa senositik,-,-
hifi,-,-
higiene,-,-
higiene mental,prinsip serta ukuran untuk mengetahui keadaan kesehatan jiwa seseorang atau masyarakat dalam usaha mencegah segala macam gangguan jiwa,
higiene pangan,-,-
higiene sanitasi makanan,-,-
higienis,-,-
higlokemia,-,-
higrofili,-,-
higrofilia,-,-
higrofobia,-,-
higrograf,-,-
higrogram,-,-
higrometer,-,-
higrometer elektrik,-,-
higrometer kimia,higrometer yang bekerjanya berdasarkan sifat penyerapan uap air dari zat kimia,
higrometer listrik,higrometer yang menggunakan elemen elektronik yang peka terhadap kelembapan udara sebagai alat duga,
higrometer rambut,"higrometer yang menggunakan rambut sebagai alat untuk mengukur kelembapan, ukuran panjang rambut dapat berubah-ubah sesuai dengan besar kecilnya tingkat kelembapan udara",
higrometer serap,higrometer yang menggunakan elemen dari bahan kimia yang mempunyai sifat menyerap uap air,
higrometer titik embun,higrometer untuk mengukur tinggi rendahnya titik embun,
higrometer titik ibun,-,-
higrometri,-,-
higroskop,-,-
higroskopik,-,-
higroskopis,-,-
higroskopisitas,-,-
higrotermograf,-,-
higrotermogram,-,-
hihid,-,-
hijab,-,-
hijaber,-,-
hijaiah,-,-
hijau,-,-
hijau asetat,-,-
hijau daun,hijau muda (seperti warna daun),
hijau gadung,hijau muda (warnanya seperti daun gadung),
hijau jelak,warna hijau terang,
hijau lestari,-,-
hijau lumut,hijau kecokelat-cokelatan menyerupai warna lumut,
hijau maya-maya,hijau terang,
hijau muda,"hijau keputih-putihan (seperti warna daun yang muda), hijau daun",
hijau paris,-,-
hijau tua,hijau kehitam-hitaman,
hijau zamrud,warna hijau menyerupai batu zamrud,
hijauan,-,-
hijauan kering,"makanan ternak yang telah dikeringkan, kadar airnya biasanya lebih kurang 10 persen",
hijiki,-,-
hijir,-,-
Hijir Ismail,bangunan tembok berbentuk bulan sabit yang terletak di samping Ka'bah sebagai tempat mustajab untuk berdoa,
hijrah,-,-
hijriah,-,-
hi.kam,→ hikmah,
hikayat,-,-
hikmah,-,-
hikmat,-,-
hikmat gajah,ilmu gajah,
hila-hila,-,-
hilal,-,-
hilang,-,-
hilang akal,"tidak dapat berpikir, bingung",
hilang arwah,pingsan,
hilang arwah,hilang akal,
hilang bicara,kalah bertengkar,
"hilang bini boleh dicari, hilang budi badan celaka","apabila kutukan orang tuanya belum dicabut, celakalah hidupnya nanti",
hilang cahaya,pudar,
hilang dara,sudah bukan gadis lagi (tentang gadis yang telah dinodai),
hilang dari mata,tidak tampak lagi,
"hilang di mata, di hati jangan","biarpun telah pergi jauh, jangan melupakan orang yang ditinggalkan",
"hilang dicari, terapung direnangi, terbenam diselami","hal atau perkara yang tersembunyi, lalu diperiksa",
hilang gaib,hilang lenyap,
hilang geli karena gelitik,kecanggungan akan hilang apabila telah menjadi kebiasaan,
hilang harapan,tidak mempunyai harapan lagi,
hilang hayat,"padam jiwa, mati",
hilang ingatan,pingsan,
hilang ingatan,"hilang akal, berubah akal, gila",
"hilang kabus, teduh hujan",telah senang (aman dan sebagainya) kembali sehabis menderita kesusahan dan sebagainya,
hilang kata,-,-
hilang kikis,hilang lenyap,
hilang kilat dalam kilau,"(kepandaian, kebesaran, dan sebagainya) tidak menonjol lagi sesudah berada bersama orang-orang pandai, orang-orang terkenal, dan sebagainya",
hilang lenyap,hilang sama sekali,
hilang malu,tidak ada perasaan segan lagi,
hilang nyawa,mati,
hilang pijar,-,-
hilang pikiran,"tidak tahu yang harus diperbuat, bingung",
hilang pintang,"hilang sama sekali, hilang lenyap",
hilang redam,"benar-benar menghilang, tidak tampak (muncul, terdengar) lagi",
"hilang rona karena penyakit, hilang bangsa tidak beruang",orang yang tidak berharta (beruang) kurang dihargai orang,
"hilang satu, sepuluh gantinya",sekali-kali janganlah putus asa,
hilang semangat,pingsan,
hilang semangat,hilang ingatan,
hilang semangat,sangat terperanjat,
hilang semangat,tidak mempunyai semangat lagi,
"hilang sepuh, tampak senam",tampak kejahatannya sesudah terbuka kedoknya,
"hilang tak bercari, lulus tak berselami",tidak dipedulikan lagi,
"hilang tak tentu rimbanya, mati tak tentu kuburnya","hilang lenyap tanpa bekas, pergi tidak pernah kembali, bahkan tidak ada kabar beritanya lagi",
hilang-hilang,-,-
hilang-hilang timbul,tidak kelihatan (kedengaran) nyata,
hilang-hilang timbul,sebentar tampak sebentar lagi hilang,
hi.lap,→ khilaf,
hilau,-,-
hilefobia,-,-
hilir,-,-
hilir malam,jauh (larut) malam,
"hilir malam mudik tak singgah, daun nipah dikatakan daun abu","merasa malu, segan, dan sebagainya karena sudah berutang budi atau karena perkariban",
hilir mudik,"ke sana kemari, bolak-balik, mondar-mandir",
hilir sungai,bagian sungai sebelah bawah,
hilirisasi,-,-
hilofagus,-,-
hilofobia,-,-
hilum,-,-
hima,-,-
himalaya,-,-
himanga,-,-
himar,-,-
him.bau,→ imbau,
him.bau.an,→ imbauan,
himen,-,-
himenium,-,-
himenoplasti,-,-
himenoplastis,-,-
himenopterofili,-,-
himlao,-,-
himne,-,-
him.pit,→ impit,
himpun,-,-
himpunan,-,-
himpunan instruksi,-,-
himpunan undang-undang,"pembentukan dan penetapan undang-undang secara tersusun, pengitaban undang-undang secara bersistem",
himudu,-,-
hin,-,-
hina,-,-
hina angkara,sangat rendah dan biadab,
hina budi,kelakuan yang kurang baik,
hina dina,-,-
hina lata,hina dina,
hina papa,hina dina,
hina-menghinakan,-,-
hinaan,-,-
hinap,-,-
hinayana,-,-
hindar,-,-
hindesan,-,-
hindi,-,-
hindia,-,-
hindia belanda,-,-
hindu,-,-
hinduisme,-,-
hi.ngar,→ ingar,
hingar bingar,→ ingar bingar,
hingga,-,-
hinggap,-,-
"hinggap bak langau, titik bak hujan","suatu hal yang tiba-tiba saja terjadi, tanpa diketahui lebih dahulu",
hinggi,-,-
hinggut,-,-
hinomaru,-,-
hintuk,-,-
hinyai,-,-
hio,-,-
hiosiamina,-,-
hiosin,-,-
hipantium,-,-
hipegiafobia,-,-
hiper-,-,-
hiperajusis,-,-
hiperaktif,-,-
hiperaktivitas,-,-
hiperamnesi,-,-
hiperamonemia,-,-
hiperandrogen,-,-
hiperantefleksi,-,-
hiperbarik,-,-
hiperbilirubinemia,-,-
hiperbol,-,-
hiperbola,-,-
hiperbola daun dua,-,-
hiperbola daun satu,-,-
hiperbola persegi panjang,-,-
hiperbolis,-,-
hiperboloid,-,-
hiperdaktili,-,-
hiperdefekasi,-,-
hiperemesis,-,-
hiperemesis gravidarum,-,-
hiperemia,-,-
hiperendemi,-,-
hiperestesia,-,-
hiperetrofleksi,-,-
hipereutrofik,-,-
hiperfagi,-,-
hiperfleksi,-,-
hiperfosfatemia,-,-
hipergami,-,-
hiperglikemia,-,-
hiperglikemik,-,-
hiperglisemia,-,-
hipergolik,-,-
hiperhidrosis,-,-
hiperinflasi,-,-
hiperinsulinemia,-,-
hiperinsulinemia reaktif pascamakan,keadaan hasil produksi insulin yang berlebihan setelah makan,
hiperkalemia,-,-
hiperkalsemia,-,-
hiperkalsiuria,-,-
hiperkapnia,-,-
hiperkelas,-,-
hiperkeratosis,-,-
hiperkinesis,-,-
hiperkinetik,-,-
hiperklorhidria,-,-
hiperkolesterolemia,-,-
hiperkorek,-,-
hiperkoreksi,-,-
hiperkritis,-,-
hiperlipemia,-,-
hiperlipidemia,-,-
hipermedia,-,-
hipermetropi,-,-
hipermetropia,-,-
hipermobilitas,-,-
hipernasionalisme,-,-
hipernim,-,-
hipernova,-,-
hiperoksemia,-,-
hiperon,-,-
hiperopia,-,-
hiperosmia,-,-
hiperosmotik,-,-
hiperparasit,-,-
hiperpigmentasi,-,-
hiperpigmentasi pascaradang,-,-
hiperplasia,-,-
hiperplasia adrenal kongenita,-,-
hiperprolaktinemia,-,-
hipersalin,-,-
hipersaliva,-,-
hiperseksual,-,-
hipersensitif,-,-
hipersensitivitas,-,-
hipersomnia,-,-
hipersonik,-,-
hipersonika,-,-
hipertaut,-,-
hiperteks,-,-
hipertensi,-,-
hipertensi esensial,-,-
hipertensi paru,-,-
hipertensi primer,-,-
hipertermik,-,-
hipertiroid,-,-
hipertiroidisme,-,-
hipertonik,-,-
hipertradisional,-,-
hipertrigliseridemia,-,-
hipertrikosis,-,-
hipertrofi,-,-
hipertrofi adenoid,-,-
hipertrofi atletis,-,-
hipertrofik,-,-
hiperurisemia,-,-
hiperventilasi,-,-
hipervitaminosis,-,-
hipervolemia,-,-
hiphop,-,-
hipmi,-,-
hipnofobia,-,-
hipnolangsing,-,-
hip.no.sa,→ hipnosis,
hip.no.se,→ hipnosis,
hipnosis,-,-
hipnoterapi,-,-
hipnoterapis,-,-
hipnotik,-,-
hipnotis,-,-
hipnotisme,-,-
hipo-,-,-
hipobarik,-,-
hipoblas,-,-
hipodermis,-,-
hipodermoklisis,-,-
hipodrom,-,-
hipofili,-,-
hipofilia,-,-
hipofisis,-,-
hipofobia,-,-
hipofosfatemia,-,-
hipofremia,-,-
hipogen,-,-
hipogesia,-,-
hipogeum,-,-
hipogini,-,-
hipoglikemia,-,-
hipoglikemik,-,-
hipoglisemia,-,-
hipokalemia,-,-
hipokalsemia,-,-
hipokampal,-,-
hipokampus,-,-
hipokinesia,-,-
hipokinetik,-,-
hipoklorhidria,-,-
hipokondria,-,-
hipokotil,-,-
hipokrisi,-,-
hipokrit,-,-
hipokritis,-,-
hipoksemia,-,-
hipoksia,-,-
hipoksia anemik,-,-
hipoksia hipobarik,-,-
hipoksia hipoksemik,-,-
hipoksia iskemik,-,-
hipolimnion,-,-
hipomania,-,-
hipomastia,-,-
hipomnesia,-,-
hipomolitas,-,-
hiponatremia,-,-
hiponatrium,-,-
hiponim,-,-
hiponimi,-,-
hipoparatiroidisme,-,-
hipopituitarisme,-,-
hipoplankton,-,-
hipoplasia,-,-
hipopotamus,-,-
hipoproteinemia,-,-
hiposentrum,-,-
hiposit,-,-
hipospadia,-,-
hipotaksis,-,-
hipotalamus,-,-
hipotalamus lateral,bagian hipotalamus yang mengatur rasa lapar dan respons atas rasa takut atau berani,
hipotalamus posterior,"bagian ujung belakang dari bagian hipotalamus pada otak, berfungsi untuk mengatur panas tubuh",
hipotalamus ventromedial,bagian hipotalamus yang mengatur rasa kenyang,
hipotek,-,-
hipotek saksama,hak tanggungan atas barang tidak bergerak dengan barang jaminan tetap dimiliki dan dikuasai oleh debitur atas dasar saling percaya dari kedua pihak,
hipotenar,-,-
hipotensi,-,-
hipotensi ortostatik,-,-
hipotenusa,-,-
hipotermia,-,-
hi.po.te.sa,→ hipotesis,
hipotesis,-,-
hipotesis alternatif,pernyataan sementara mengenai hubungan yang berbanding terbalik antara variabel yang digunakan,
hipotesis argumentatif,"hipotesis yang menunjukkan dengan teratur suatu dugaan sementara tentang mengapa benda, peristiwa, kenyataan, atau variabel itu terjadi",
hipotesis deskriptif,"hipotesis yang menunjukkan dugaan sementara tentang bagaimana benda, peristiwa, kenyataan, atau variabel itu terjadi",
hipotesis frustrasi-agresi,-,-
hipotesis inokulasi,-,-
hipotesis kemampuan gerak umum,-,-
hipotesis kerja,hipotesis yang menjelaskan akibat suatu sebab tertentu yang akan dibuktikan kebenarannya melalui penelitian,
hipotesis kualitatif,hipotesis yang menunjukkan hubungan sebab akibat dari sudut sifat hubungan sebab akibat tersebut,
hipotesis kuantitatif,hipotesis yang menunjukkan hubungan sebab akibat dengan pengukuran yang eksak,
hipotesis nol,pernyataan sementara mengenai hubungan yang sama atau sebanding antara variabel yang digunakan,
hipotesis operasional,rumusan mengenai langkah-langkah yang perlu diambil dalam menanggapi permasalahan tertentu,
hipotesis penggunaan isyarat,-,-
hipotesis penjelasan,hipotesis yang menggunakan perhitungan statistik dan ilmu pasti,
hipotesis penyangga,-,-
hipotesis penyesuaian,-,-
hipotesis tandingan,-,-
hipotetis,-,-
hi.po.tik,→ hipotek,
hipotiroid,-,-
hipotiroidisme,-,-
hipotonik,-,-
hipovitaminosis,-,-
hipovolemia,-,-
hippie,-,-
hipsifobia,-,-
hipsometer,-,-
hipster,-,-
hipui,-,-
hiragana,-,-
hirap,-,-
hi.rar.ki,→ hierarki,
hirau,-,-
hiri motu,-,-
hiris,-,-
hirsutisme,-,-
hirsutisme idiopatik,-,-
hirsutofili,-,-
hirsutofilia,-,-
hirta,-,-
hiru-biru,-,-
hiru-hara,-,-
hirudin,-,-
hiruk,-,-
hiruk pikuk,hiruk,
hirup,-,-
his,-,-
hisab,-,-
hi.sap,→ isap,
hiski,-,-
histamina,-,-
histaminase,-,-
histerektomi,-,-
histeria,-,-
histeria konversi,-,-
histerikal,-,-
histeris,-,-
histerisis,-,-
histerografi,-,-
histeroplasti,-,-
histerosel,-,-
histeroskopi,-,-
histerospasme,-,-
histidina,-,-
histogeni,-,-
histogram,-,-
histokimia,-,-
histologi,-,-
histon,-,-
histopatologi,-,-
histori,-,-
historikus,-,-
historiografi,-,-
historiografi linguistik,bagian sejarah linguistik tentang karya linguistik yang membahas pewarisan dan saling pengaruh ide-ide mengenai bahasa,
historis,-,-
historisisme,-,-
historisitas,-,-
histrionik,-,-
hit,-,-
hitam,-,-
hitam anilina,-,-
hitam antimon,-,-
hitam arang,warna hitam yang sangat gelap menyerupai arang,
hitam asetilena,-,-
hitam bagai pantat belanga,sangat buruk (tentang tabiat seseorang),
hitam berkilat,warna hitam yang berkilat agak berminyak,
hitam birat,orang yang kulitnya hitam lagi buruk rupa,
hitam bogot,hitam legam,
hitam di atas putih,"dengan tertulis, tidak hanya dengan perkataan (tentang perjanjian dan sebagainya)",
"hitam dikatakan putih, putih dikatakan hitam",tidak mengatakan yang sebenarnya (yang baik dikatakan buruk dan sebaliknya),
hitam jengat,hitam pekat,
hitam karbon,-,-
hitam kumbang,hitam pekat,
hitam lakan,warna hitam mengilat,
hitam langit,hitam pekat,
hitam lebam,amat hitam,
hitam legam,hitam pekat,
hitam lotong,hitam pekat,
hitam manggis,hitam seperti warna kulit buah manggis,
hitam manis,hitam bersih dan berseri (tentang warna kulit),
hitam mata,bagian mata yang hitam,
hitam mata itu mana boleh bercerai dengan putihnya,orang yang sedang bercinta tidak mudah dipisahkan,
hitam pegam,-,-
hitam pekat,hitam sekali,
hitam putih,-,-
hitam sabak,hitam keabu-abuan,
hitam sebagai kuali,sangat hitam,
hitam selalu,hitam seluruhnya,
hitam seperti dawat,hitam berkilat-kilat,
"hitam tahan tempa, putih tahan sesah","tetap tidak berubah, tahan uji",
hitam tulang,-,-
hitam usam,hitam yang tidak berseri (kotor),
"hitam, hitam gagak, putih, putih udang kapai (hitam, hitam bendi, putih, putih sadah)",yang hina tetap hina meskipun cantik rupanya dan yang mulia tetap mulia meskipun buruk rupanya,
